,PC1,PC2,PC3,cell_type
100.2.045,-1.1027476657928201,2.381820442567852,-1.6811238917029443,Endothelial
100.2.054,-2.524710897084037,1.9744984082935568,3.0270650361772904,Endothelial
100.2.059,-1.5330540132960389,3.51983390143215,-0.8338371946071325,T_CD3
100.2.063,-1.7326923507135659,4.434114947098168,-0.19768125382743967,Smooth muscle
100.20.002,-1.8865160383197617,3.9932248754693287,0.6187567178353304,
100.20.003,-2.097499375846148,5.381728850562309,-0.808369814944979,Endothelial
100.20.008,-0.8536847276011059,3.2575277401837526,-0.0766658095710946,Smooth muscle
100.20.009,-0.9874659728595019,3.0874233109427793,-0.03565955965683494,B
100.20.01,-1.3870443976188023,3.394574608560742,-0.48668911007672905,Epithelial
100.20.015,-2.863112422335112,5.709962606100911,-1.3213274809268314,T_CD3
100.20.018,-1.7605299067401465,2.730708415454581,-1.2985743002641716,Endothelial
100.20.022,-2.133841268586288,4.829973721598794,-0.490654400909345,Smooth muscle
100.20.03,-1.6619269612011094,5.472262598155021,0.13870283109159684,T_CD3
100.20.031,-2.7681992274543012,7.81415665244079,-1.235562503092805,Epithelial
100.20.034,-1.2422759786917508,2.740191926871591,0.7528869215365103,B
100.20.036,-1.4890435823699266,3.7558006379575346,-1.5088076206796521,Epithelial
100.20.037,-2.1208868697001284,4.485197747559305,0.14962788339982871,T_CD3
100.20.04,-1.8020377755798118,2.635850527631496,-1.3461260284733627,Epithelial
100.20.043,-0.5706237529301881,3.0045750687465675,-1.003559107704334,Endothelial
100.20.045,-1.040337864765045,3.653808707643283,-0.6420119179496457,Epithelial
100.20.046,-0.8429294146934121,3.322140071471478,1.0530312436702602,B
100.20.047,-1.876220293127366,4.233328360325103,-0.40516463017639914,Smooth muscle
100.20.051,-2.1766672689190654,4.35952162590867,-0.6496488663999198,Endothelial
100.20.055,-0.6423771192076121,3.0928274955069246,2.8225720580467932,B
100.20.075,-1.8694250857999148,3.8043526107860233,-0.6850221476440554,Epithelial
100.20.076,-1.4701191496800872,3.5148031432769904,0.6357745251732718,T_CD3
100.21.001,-1.721235085020005,3.7593984144288766,-0.7591111915672831,Smooth muscle
100.21.003,-1.9603364251539135,4.514421241354916,2.111990556968219,Epithelial
100.21.014,-1.5693149354238258,4.09404991924922,-0.8254496029460526,Smooth muscle
100.21.017,-1.4057829922515621,3.7980103209289062,-0.6472734766197733,Smooth muscle
100.21.018,-1.674684711918538,2.864853263749196,0.1101258644861021,Endothelial
100.21.021,-1.799217025248523,3.9792050065970566,-0.4791865359168294,T_CD3
100.21.026,-1.7987440880182217,5.078805267097102,-0.4823082882644978,Epithelial
100.21.028,-2.1537014296012593,5.1636405051725545,-2.3912181723162607,Epithelial
100.21.03,-2.5336246128554896,6.098049915937201,-0.1937673679681362,T_CD3
100.21.031,-1.177214013328405,4.05344182752735,-0.7972970799782497,Epithelial
100.21.041,-2.760167144314206,5.4776772477374625,-0.7699784629921732,Epithelial
100.21.044,-0.993545649339065,3.575013166454509,-1.389706154736233,Smooth muscle
100.21.045,-1.9112656893624214,5.507966522634963,-0.6568733390052817,Endothelial
100.21.051,-2.010289859001428,4.135201475005001,-0.6622903348987924,Epithelial
100.21.057,-1.377401490768851,2.7155462609768053,1.5138527722889201,
100.21.06,-3.023348442738386,6.2528454955762305,0.014884730750802199,
100.22.004,-2.1635677083979554,3.4220308019024333,-0.35056348140565924,Epithelial
100.22.005,-2.0155596195616226,3.861396447456072,-0.5654297342226551,T_CD3
100.22.008,-0.9074640567669034,2.6093631431191198,-0.5907732227427329,Endothelial
100.22.009,-0.8981521798545118,3.27995648547297,1.3185204012414604,B
100.22.011,-1.6462051679748584,3.6240787030316866,0.5028913285473042,B
100.22.014,-1.6862551959474887,5.341766240775068,0.009574635550947489,T_CD3
100.22.016,-1.428104204992445,3.91959244288293,-0.5331454230906738,T_CD3
100.22.017,-2.1523746577010794,4.088926617008871,3.962116040189328,B
100.22.018,-1.3567272313720684,0.7650305851165499,-3.149342916060364,Endothelial
100.22.02,-1.339922541352373,6.82418683583394,-1.6349995127956163,Epithelial
100.22.021,-1.263841799429458,3.5748170025048602,-0.3941444197242919,
100.22.023,-0.10564192247248722,1.7252569015747838,0.5671099275917482,Endothelial
100.22.028,-1.0439811361321085,4.407988908051903,-0.5420576451574288,Epithelial
100.22.031,-1.2036585334587022,3.591437505460338,-0.3337512606119405,Epithelial
100.22.034,-0.8681711646448442,3.6699578697505775,1.2981199217847306,
100.22.035,-2.599718211237919,5.4206189711137025,-0.9972910955199012,T_CD3
100.22.036,-2.0497315662185693,4.475454530085948,0.19249396630177723,T_CD3
100.22.043,-1.7254733462589593,2.978170420574174,0.5036275373143161,Epithelial
100.22.047,-1.8008699111116253,4.545978771533434,-0.08498924331811046,Smooth muscle
100.22.051,-1.7213297630271036,4.079536168068742,-0.6029996415323541,Smooth muscle
100.22.055,-1.7876474899554256,5.134963751545902,-1.6954555641305031,Endothelial
100.22.058,-1.146415871700959,1.7525077250252112,0.13304994983353133,Fibroblast
100.22.061,-1.646611753054745,4.154743038410256,-0.6568392510772675,Epithelial
100.22.072,-1.5803800691083392,5.052641622178195,-0.43980509600009254,T_CD3
100.22.075,-1.1925542061175534,4.10220374090085,-0.7567821060989096,Smooth muscle
100.23.003,-2.1189621573447823,4.230741570029355,-0.30233017123980954,Smooth muscle
100.23.004,-1.634206362563415,2.683955388412829,-0.759682049120537,Epithelial
100.23.005,-1.2176568477990628,3.864003687526568,-0.5237485481950916,Smooth muscle
100.23.006,-1.0205266526379957,3.3305910340096854,1.65751510518227,
100.23.007,-0.9364855002702075,4.000589286663342,1.8238843201898485,B
100.23.009,-0.5673417443996107,3.8988121914465133,-1.3231828423154084,Fibroblast
100.23.019,-2.0418858561806212,1.8826794167554313,-1.7152630529083959,Fibroblast
100.23.021,-2.0344978010492234,4.4625867438556295,-0.24437314301490015,Epithelial
100.23.026,-2.1149512237132564,5.0774696777780175,-0.8347850242559374,Epithelial
100.23.028,-2.586805351095345,6.316255252548409,-0.662389657384602,Epithelial
100.23.03,-2.441003132473903,5.399895089221923,-0.06726326031836842,T_CD3
100.23.034,-0.8909602114524289,3.684305914636094,1.880896424373287,
100.23.035,-2.2436995203650802,5.258224408198622,0.7662470270226502,Endothelial
100.23.036,-2.391834467602423,4.840984241965424,0.27047338170374047,Epithelial
100.23.037,-2.7167407217952304,6.227027312514356,-0.2018983666240902,T_CD3
100.23.042,-1.268664719562095,0.09041469575360178,-0.7137461878441671,Epithelial
100.23.044,-2.139182231497371,3.9044655024201065,0.2171389888078417,Endothelial
100.23.047,-1.7522173257584335,4.281255953885122,-0.11776698825188132,T_CD3
100.23.048,-0.9585378276268437,2.6466968747932507,-0.4088203377608298,B
100.23.05,-0.37791991299376065,3.120777727154925,-2.4094527031601167,Endothelial
100.23.052,-1.950645612166789,4.266670497931048,-0.7486912327642774,Smooth muscle
100.23.054,-1.5200736528175196,2.1055618040360464,0.2734062613899618,
100.23.058,-1.154871075129031,4.03110996496791,-0.4388458151868862,Fibroblast
100.23.059,-2.2373869639008275,4.680588268464016,0.210740820911884,Endothelial
100.23.076,-1.7044064973837973,4.373787531237936,-0.49116668818758796,Epithelial
100.24.002,-1.5528290132146858,4.495431643707818,-0.8619466018062535,Epithelial
100.24.003,-1.6767264746594566,3.9352128081557325,-0.37016137632432944,Endothelial
100.24.005,-1.820304615104879,4.025136898127976,-0.04511003471267481,Smooth muscle
100.24.009,-1.8377353397954328,4.349386454248598,0.3879599969697835,Fibroblast
100.24.015,-2.1362354825970047,3.8970972738817538,0.5462761006020282,Endothelial
100.24.016,-1.2273852787598634,4.270720431019052,-0.0386513333707048,Smooth muscle
100.24.019,-1.1819911487875148,2.7089709518403633,-1.6252388874193815,Fibroblast
100.24.02,-1.5549432518198454,4.420685985585823,-0.9633407219249202,Smooth muscle
100.24.021,-2.0053216858704213,4.663219305866475,0.515786502280388,Epithelial
